AID;ShowID
13501;10001
13502;10001
13503;20001
13504;20001
13505;30001
13506;30001
13507;40001
13508;40001
13509;50001
13510;50001
13511;60001
13512;60001
13513;70001
13514;70001
13515;80001
13516;80001
13517;90001
13518;90001
13519;100001
13520;100001
13521;110001
13522;110001
13523;120001
13524;120001
13525;130001
13526;130001
13527;140001
13528;150001
13529;150001
13530;150001
13531;160001
13532;160001
13533;170001
13534;170001
13535;180001
13536;180001
13537;190001
13538;190001
13539;200001
13540;200001
13541;210001
13542;210001
13543;220001
13544;220001
13545;230001
13546;230001
13547;240001
13548;240001
13549;250001
13550;250001
13551;260001
13552;260001
13553;270001
13554;270001
13555;280001
13556;280001
13557;290001
13558;290001
13559;300001
13560;300001
13501;10002
13502;10002
13503;20002
13504;20002
13505;30002
13506;30002
13507;40002
13508;40002
13509;50002
13510;50002
13511;60002
13512;60002
13513;70002
13514;70002
13515;80002
13516;80002
13517;90002
13518;90002
13519;100002
13520;100002
13521;110002
13522;110002
13523;120002
13524;120002
13525;130002
13526;130002
13527;140002
13528;150002
13529;150002
13530;150002
13531;160002
13532;160002
13533;170002
13534;170002
13535;180002
13536;180002
13537;190002
13538;190002
13539;200002
13540;200002
13541;210002
13542;210002
13543;220002
13544;220002
13545;230002
13546;230002
13547;240002
13548;240002
13549;250002
13550;250002
13551;260002
13552;260002
13553;270002
13554;270002
13555;280002
13556;280002
13557;290002
13558;290002
13559;300002
13560;300002
13514;210001
13514;210001
13542;70001
13542;70002
13543;300001
13543;300002
13544;300001
13545;260001
13548;80001
13548;80002
13559;220001
13559;220002
