ShowID;ShowNumber;TotalTicket;AvailableTicket
10001;1;30;29
20001;2;30;30
30001;3;30;30
40001;4;30;30
50001;5;30;30
60001;6;30;30
70001;7;30;30
80001;8;30;30
90001;9;30;30
100001;10;30;30
110001;11;30;30
120001;12;30;30
130001;13;30;30
140001;14;30;30
150001;15;30;30
160001;16;30;30
170001;17;30;30
180001;18;30;30
190001;19;30;30
200001;20;30;30
210001;21;30;30
220001;22;30;30
230001;23;30;30
240001;24;30;30
250001;25;30;30
260001;26;30;28
270001;27;30;30
280001;28;30;30
290001;29;30;30
300001;30;30;30
10002;1;30;30
20002;2;30;29
30002;3;30;30
40002;4;30;30
50002;5;30;30
60002;6;30;30
70002;7;30;30
80002;8;30;30
90002;9;30;30
100002;10;30;30
110002;11;30;30
120002;12;30;30
130002;13;30;30
140002;14;30;30
150002;15;30;30
160002;16;30;30
170002;17;30;30
180002;18;30;30
190002;19;30;30
200002;20;30;30
210002;21;30;30
220002;22;30;30
230002;23;30;30
240002;24;30;30
250002;25;30;30
260002;26;30;30
270002;27;30;30
280002;28;30;30
290002;29;30;30
300002;30;30;30
