ShowNumber;ShowName;Category;Duration;RatingScore
1;The Lion King;Musical, kids-friendly;2hrs30mins;95
2;The Phantom of the Opera;Musical, Drama, Classics;2hrs30mins;95
3;Jersey Boys;Musical, Original;2hrs30mins;90
4;Wicked;Kids-friendly;2hrs45mins;92
5;Once;Musical, Romance;2hrs15mins;90
6;First Date;Musical, Comedy;1hr30mins;88
7;Mamma Mia!;Musical, Comedy, Classics;2hrs30mins;95
8;Chicago;Musical, Dance, Classics;2hrs30mins;92
9;Richard III;Play, History;2hrs50mins;86
10;A Gentleman's Guide to Love and Murder ;Comedy;2hrs20mins;90
11;A Night with Janis Joplin;Musical;2hrs15mins;88
12;After Midnight;Musical;1hr30mins;88
13;Annie;Comedy;2hrs30mins;90
14;700 Sundays;Play;2hrs15mins;85
15;Betrayal;Plays, Classics;1hr30mins;85
16;Big Fish;Musical, Drama;2hrs30mins;89
17;Kinky Boots;Musical, 2013 Tony Winners;2hrs20mins;95
18;Macbeth;Play, Tragedy;2hrs45mins;87
19;Matilda ;Musical, 2013 Tony Winners;2hrs35mins;95
20;Motown The Musical;Musical, Drama;2hrs40mins;88
21;Newsies The Musical;Musical, Comedy, Kids-friendly;2hrs20mins;93
22;No Man's Land;Play, Drama;2hrs;90
23;Pippin;Musical, 2013 Tony Winners;2hrs30mins;93
24;Rock of Ages;Musical;2hrs20mins;88
25;Cinderella;Musical, 2013 Tony Winners;2hrs15mins;90
26;Spider-man: Turn Off The Dark;Musical, Spectacle;2hrs30mins;93
27;The Book of Mormon;Musical, Comedy;2hrs15mins;83
28;The Glass Menagerie;Plays, Classics;2hrs15mins;85
29;Twelfth Night;Play, Comedy;3hrs;90
30;Waiting for Godot;Play, Drama;2hrs30mins;88
