TicketID;Price;SeatLocation
0010001A01;255.25;Orchestra
0010001A02;255.25;Orchestra
0010001A03;255.25;Orchestra
0010001A04;255.25;Orchestra
0010001A05;255.25;Orchestra
0010001A06;255.25;Orchestra
0010001A07;255.25;Orchestra
0010001A08;255.25;Orchestra
0010001A09;255.25;Orchestra
0010001A10;255.25;Orchestra
0010001B01;218.7;Front Mezzanine
0010001B02;218.7;Front Mezzanine
0010001B03;218.7;Front Mezzanine
0010001B04;218.7;Front Mezzanine
0010001B05;218.7;Front Mezzanine
0010001B06;218.7;Front Mezzanine
0010001B07;218.7;Front Mezzanine
0010001B08;218.7;Front Mezzanine
0010001B09;218.7;Front Mezzanine
0010001B10;218.7;Front Mezzanine
0010001C01;133.65;Rear Mezzanine
0010001C02;133.65;Rear Mezzanine
0010001C03;133.65;Rear Mezzanine
0010001C04;133.65;Rear Mezzanine
0010001C05;133.65;Rear Mezzanine
0010001C06;133.65;Rear Mezzanine
0010001C07;133.65;Rear Mezzanine
0010001C08;133.65;Rear Mezzanine
0010001C09;133.65;Rear Mezzanine
0010001C10;133.65;Rear Mezzanine
0010002A01;255.15;Orchestra
0010002A02;255.15;Orchestra
0010002A03;255.15;Orchestra
0010002A04;255.15;Orchestra
0010002A05;255.15;Orchestra
0010002A06;255.15;Orchestra
0010002A07;255.15;Orchestra
0010002A08;255.15;Orchestra
0010002A09;255.15;Orchestra
0010002A10;255.15;Orchestra
0010002B01;198.45;Front Mezzanine
0010002B02;198.45;Front Mezzanine
0010002B03;198.45;Front Mezzanine
0010002B04;198.45;Front Mezzanine
0010002B05;198.45;Front Mezzanine
0010002B06;198.45;Front Mezzanine
0010002B07;198.45;Front Mezzanine
0010002B08;198.45;Front Mezzanine
0010002B09;198.45;Front Mezzanine
0010002B10;198.45;Front Mezzanine
0010002C01;133.65;Rear Mezzanine
0010002C02;133.65;Rear Mezzanine
0010002C03;133.65;Rear Mezzanine
0010002C04;133.65;Rear Mezzanine
0010002C05;133.65;Rear Mezzanine
0010002C06;133.65;Rear Mezzanine
0010002C07;133.65;Rear Mezzanine
0010002C08;133.65;Rear Mezzanine
0010002C09;133.65;Rear Mezzanine
0010002C10;133.65;Rear Mezzanine
0020001A01;184.95;Orchestra
0020001A02;184.95;Orchestra
0020001A03;184.95;Orchestra
0020001A04;184.95;Orchestra
0020001A05;184.95;Orchestra
0020001A06;184.95;Orchestra
0020001A07;184.95;Orchestra
0020001A08;184.95;Orchestra
0020001A09;184.95;Orchestra
0020001A10;184.95;Orchestra
0020001B01;124.2;Front Mezzanine
0020001B02;124.2;Front Mezzanine
0020001B03;124.2;Front Mezzanine
0020001B04;124.2;Front Mezzanine
0020001B05;124.2;Front Mezzanine
0020001B06;124.2;Front Mezzanine
0020001B07;124.2;Front Mezzanine
0020001B08;124.2;Front Mezzanine
0020001B09;124.2;Front Mezzanine
0020001B10;124.2;Front Mezzanine
0020001C01;97.2;Rear Mezzanine
0020001C02;97.2;Rear Mezzanine
0020001C03;97.2;Rear Mezzanine
0020001C04;97.2;Rear Mezzanine
