LID;ShowID
NYNY0001;0010001
NYNY0002;0020001
NYNY0003;0030001
NYNY0004;0040001
NYNY0005;0050001
NYNY0006;0060001
NYNY0007;0070001
NYNY0008;0080001
NYNY0009;0090001
NYNY0010;0100001
NYNY0011;0110001
NYNY0012;0120001
NYNY0013;0130001
NYNY0014;0140001
NYNY0015;0150001
NYNY0016;0160001
NYNY0017;0170001
NYNY0018;0180001
NYNY0019;0190001
NYNY0020;0200001
NYNY0021;0210001
NYNY0022;0220001
NYNY0023;0230001
NYNY0024;0240001
NYNY0025;0250001
NYNY0026;0260001
NYNY0027;0270001
NYNY0028;0280001
NYNY0009;0290001
NYNY0022;0300001
NYNY0001;0010002
NYNY0002;0020002
NYNY0003;0030002
NYNY0004;0040002
NYNY0005;0050002
NYNY0006;0060002
NYNY0007;0070002
NYNY0008;0080002
NYNY0009;0090002
NYNY0010;0100002
NYNY0011;0110002
NYNY0012;0120002
NYNY0013;0130002
NYNY0014;0140002
NYNY0015;0150002
NYNY0016;0160002
NYNY0017;0170002
NYNY0018;0180002
NYNY0019;0190002
NYNY0020;0200002
NYNY0021;0210002
NYNY0022;0220002
NYNY0023;0230002
NYNY0024;0240002
NYNY0025;0250002
NYNY0026;0260002
NYNY0027;0270002
NYNY0028;0280002
NYNY0009;0290002
NYNY0022;0300002
