TimeID;ShowID
131221A;10001
131222A;20001
131221A;30001
131226A;40001
131225A;50001
131223A;60001
131221A;70001
131222A;80001
131221A;90001
131226A;100001
131225A;110001
131223A;120001
131221A;130001
131222A;140001
131221A;150001
131226A;160001
131225A;170001
131223A;180001
131221A;190001
131222A;200001
131221A;210001
131226A;220001
131225A;230001
131223A;240001
131221A;250001
131222A;260001
131221A;270001
131226A;280001
131225A;290001
131223A;300001
131226B;10002
131227A;20002
131226B;30002
131228A;40002
131228B;50002
131226B;60002
131227A;70002
131226B;80002
131228A;90002
131228B;100002
131226B;110002
131227A;120002
131226B;130002
131228A;140002
131228B;150002
131226B;160002
131227A;170002
131226B;180002
131228A;190002
131228B;200002
131226B;210002
131227A;220002
131226B;230002
131228A;240002
131228B;250002
131226B;260002
131227A;270002
131226B;280002
131228A;290002
131228B;300002
